id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5161
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,1.99983370,22,22,4653
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,4.99664529,22,22,4331
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4616
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,1.99650742,22,22,2616
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00007910,22,22,1255
6,0.00040100,0.00002415,0.00017125,0.000171276595745,srd,1,0,2,0.00286885,22,22,1764
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00021953,22,22,2127
8,0.00100000,0.00004012,0.00019288,0.000192884615385,srd,2,0,2,3.99917941,22,21,2678
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,0.00917343,22,22,1933
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.01553483,22,22,1134
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00018283,29,29,853
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,30,30,1952
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.02383910,30,30,2098
14,0.00010200,0.00001547,0.00013210,0.000140636363636,bnb,1,0,1,,30,29,380
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.01148670,35,35,3448
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,35,34,1393
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,0.00692843,36,36,5094
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,3.99245376,36,36,4819
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.00861687,36,36,5905
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,36,35,6581
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.00891736,35,35,5871
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,0.00176091,35,35,3305
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,0.00812783,35,35,2377
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,0.00490349,35,35,1750
25,0.00333000,0.00002478,0.00017571,0.000177000,srd,1,0,2,2.99664522,35,35,1808
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.00127128,35,35,1664
27,0.00337500,0.00002100,0.00010801,0.000118644067797,bnb,2,0,1,,35,33,422
28,0.00300000,0.00002552,0.00009927,0.000104163265306,bnb,3,0,1,,33,30,299
29,0.00294600,0.00002341,0.00005283,0.0000614435695538,bnb,5,0,1,,30,25,-941
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,0.02049759,26,26,1228
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.00156214,26,26,1217
32,0.00330000,0.00001400,0.00006361,0.000127272727273,bnb,1,0,1,,26,25,520
33,0.00336300,0.00002709,0.00007874,0.00007875000,knapsack,4,2,2,0.00005551,25,22,621
34,0.00333400,0.00001213,0.00002942,0.0000294417475728,knapsack,5,0,2,0.00002411,25,21,-1283
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00019425,21,21,472
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,knapsack,1,0,2,0.00030851,21,21,384
37,0.00332900,0.00000798,0.00002890,0.0000289130434783,knapsack,3,0,2,0.00016578,22,20,-475
38,0.00332700,0.00000338,0.00002392,0.0000239716312057,knapsack,1,0,2,0.00166962,20,20,306
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,knapsack,1,0,2,0.00359818,20,20,297
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00036575,20,20,450
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,knapsack,1,0,2,0.00461925,20,20,473
42,0.00198400,0.00000900,0.00003259,0.0000326086956522,knapsack,3,0,2,0.00004240,21,19,-388
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,knapsack,1,0,2,0.00139512,19,19,358
44,0.00505500,0.00000367,0.00002602,0.0000260283687943,knapsack,1,0,2,0.00306916,21,21,326
45,0.00105000,0.00000965,0.00004637,0.0000463942307692,knapsack,2,0,2,0.00020610,22,21,232
46,0.00020000,0.00000610,0.00003719,0.0000554545454545,bnb,1,0,1,,21,20,-159
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00052164,20,20,384
48,0.00020400,0.00000324,0.00002292,0.0000229787234043,knapsack,1,0,2,0.00031440,21,21,296
49,0.00322600,0.00001967,0.00003136,0.0000628434504792,knapsack,4,0,1,,21,17,-814
50,0.00334300,0.00000798,0.00002891,0.0000289130434783,knapsack,3,0,2,0.00031002,17,15,-475
51,0.00668000,0.00000467,0.00003311,0.0000331205673759,knapsack,1,0,2,0.00193220,15,15,397
52,0.00332500,0.00000497,0.00003523,0.0000352482269504,knapsack,1,0,2,0.00558739,15,15,418
53,0.00332500,0.00001643,0.00007896,0.0000789903846154,srd,2,0,2,0.00255598,15,14,775
54,0.00332500,0.00000678,0.00003255,0.0000325961538462,knapsack,2,0,2,0.00115640,14,13,1
55,0.00332500,0.00000362,0.00002561,0.0000256737588652,knapsack,1,0,2,0.00607138,13,13,323
56,0.00300000,0.00000413,0.00002929,0.0000292907801418,knapsack,1,0,2,0.00306725,13,13,359
57,0.00332700,0.00000581,0.00002793,0.0000279326923077,knapsack,2,0,2,0.00050344,13,12,-77
58,0.00332500,0.00000490,0.00003473,0.0000347517730496,knapsack,1,0,2,0.00667010,12,12,413
59,0.00300000,0.00000443,0.00003138,0.0000314184397163,knapsack,1,0,2,0.00366567,12,12,380
60,0.00332700,0.00000603,0.00004272,0.0000427659574468,knapsack,1,0,2,0.00033264,12,12,492
61,0.00332700,0.00000463,0.00003282,0.0000328368794326,knapsack,1,0,2,0.00666837,12,12,394
62,0.00332800,0.00000542,0.00003837,0.0000384397163121,knapsack,1,0,2,0.00333495,12,12,448
63,0.00332900,0.00000595,0.00002798,0.0000540909090909,bnb,1,0,1,,12,11,-135
64,0.00333000,0.00000561,0.00003974,0.0000397872340426,knapsack,1,0,2,0.00966439,11,11,463
65,0.00332500,0.00000502,0.00003559,0.0000356028368794,knapsack,1,0,2,0.00633437,11,11,422
66,0.00332500,0.00000371,0.00002628,0.0000263120567376,knapsack,1,0,2,0.00300566,11,11,-135
67,0.00333500,0.00000626,0.00003005,0.0000300961538462,knapsack,2,0,2,0.00016784,11,10,-504
68,0.00332500,0.00000412,0.00002921,0.0000292198581560,knapsack,1,0,2,0.01716847,10,10,-121
69,0.00332500,0.00000519,0.00002495,0.0000249519230769,srd,2,0,2,0.03219558,10,9,-590
70,0.00300000,0.00000383,0.00002712,0.0000271631205674,knapsack,1,0,2,0.01416464,9,9,-126
71,0.00321200,0.00000579,0.00004100,0.0000410638297872,knapsack,1,0,2,0.01094685,9,9,-4
72,0.00200000,0.00001028,0.00007284,0.0000729078014184,knapsack,1,0,2,0.00893657,10,10,311
73,0.00320000,0.00000955,0.00006768,0.0000677304964539,knapsack,1,0,2,0.00572702,10,10,260
74,0.00332500,0.00000577,0.00004091,0.0000409219858156,knapsack,1,0,2,0.00239625,10,10,17
75,0.00330000,0.00000651,0.00003128,0.0000312980769231,knapsack,2,0,2,0.00024614,10,9,-478
76,0.00339300,0.00000534,0.00003786,0.0000378723404255,knapsack,1,0,2,0.02879724,9,9,-13
77,0.00332700,0.00000654,0.00004632,0.0000463829787234,knapsack,1,0,2,0.02546370,9,9,70
78,0.00334100,0.00000671,0.00004752,0.0000475886524823,knapsack,1,0,2,0.02211599,9,9,98
79,0.00332700,0.00000714,0.00005059,0.0000506382978723,knapsack,1,0,2,0.01878185,9,9,128
80,0.00332900,0.00000803,0.00003857,0.0000386057692308,srd,2,0,2,4.99364090,10,9,-340
81,0.00932800,0.00000426,0.00003020,0.0000302127659574,knapsack,1,0,2,0.00944959,9,9,-74
82,0.00333000,0.00000773,0.00005482,0.0000548226950355,knapsack,1,0,2,0.00611186,10,10,192
83,0.00332500,0.00001011,0.00007168,0.0000717021276596,knapsack,1,0,2,0.00277675,10,10,360
84,0.00332500,0.00001364,0.00006554,0.0000655769230769,knapsack,2,0,2,0.00043811,10,9,133
85,0.00300000,0.00000745,0.00005282,0.0000528368794326,knapsack,1,0,2,0.00609255,9,9,173
86,0.02047700,0.00000573,0.00004059,0.0000406382978723,knapsack,1,0,2,0.97951727,9,9,68
87,0.00172200,0.00000365,0.00002583,0.0000258865248227,knapsack,1,0,2,0.00436690,9,9,-78
88,0.00265000,0.00000786,0.00005570,0.0000557446808511,knapsack,1,0,2,0.00170904,10,10,217
89,0.00333000,0.00000750,0.00005315,0.0000531914893617,knapsack,1,0,2,0.01380250,10,10,192
90,0.00332500,0.00000593,0.00004202,0.0000420567375887,knapsack,1,0,2,0.01047157,10,10,1
91,0.01500000,0.00000363,0.00002572,0.0000257446808511,knapsack,1,0,2,0.96451364,11,11,-161
92,0.00100000,0.00000323,0.00002289,0.0000229078014184,knapsack,1,0,2,0.00070581,11,11,-189
93,0.01000000,0.00000350,0.00002479,0.0000248226950355,knapsack,1,0,2,0.00046807,11,11,-170
94,0.00200000,0.00001509,0.00005464,0.0000546739130435,knapsack,3,0,2,0.00005496,14,12,-354
95,0.00200000,0.00000463,0.00003280,0.0000328368794326,knapsack,1,0,2,0.02799537,12,12,-90
96,0.00200000,0.00001555,0.00007472,0.0000747596153846,srd,2,0,2,0.02603478,15,14,228
97,0.00100000,0.00001792,0.00012707,0.000127092198582,knapsack,1,0,2,0.00198208,14,14,849
98,0.01500000,0.00001805,0.00008674,0.0000867788461538,knapsack,2,0,2,0.00012809,17,16,440
99,0.00200000,0.00001682,0.00008082,0.0000808653846154,knapsack,2,0,2,0.00002606,16,15,342
100,0.00200000,0.00000735,0.00005212,0.0000521276595745,knapsack,1,0,2,0.00279265,15,15,129
101,0.00457300,0.00002155,0.00006264,0.0000626453488372,knapsack,4,0,2,0.00003200,15,12,-311
102,0.00200000,0.00000822,0.00002977,0.0000297826086957,knapsack,3,0,2,0.00001784,22,20,-873
103,0.00300000,0.00000714,0.00003429,0.0000343269230769,knapsack,2,0,2,0.00001070,22,21,-372
104,0.00100000,0.00001070,0.00005302,0.0000604519774011,bnb,2,0,1,,25,23,-377
105,0.00300000,0.00000645,0.00004568,0.0000457446808511,knapsack,1,0,2,0.00069355,23,23,44
106,0.00152800,0.00001301,0.00006253,0.0000625480769231,knapsack,2,0,2,0.00015254,24,23,99
107,0.00210000,0.00001977,0.00007160,0.0000716304347826,knapsack,3,0,2,0.00003277,27,25,43
108,0.00100000,0.00000546,0.00002624,0.00002625000,knapsack,2,0,2,0.00002654,28,27,-588
109,0.00492000,0.00001277,0.00004079,0.0000521224489796,bnb,3,0,1,,29,26,-731
110,0.00110000,0.00000558,0.00003952,0.0000395744680851,knapsack,1,0,2,0.00009442,28,28,-24
111,0.00050000,0.00000736,0.00003536,0.0000353846153846,srd,2,0,2,0.00451918,29,28,-436
112,0.00413200,0.00001956,0.00005686,0.0000568604651163,knapsack,4,0,2,0.00004286,30,27,-448
113,0.00310000,0.00001545,0.00005597,0.0000559782608696,knapsack,3,0,2,0.00000463,27,25,-244
114,0.00536100,0.00001021,0.00004908,0.0000490865384615,knapsack,2,0,2,0.00002440,28,27,-128
115,0.00100000,0.00001430,0.00010135,0.000101418439716,srd,1,0,2,0.00688570,27,27,682
116,0.00370900,0.00001540,0.00004653,0.0000628571428571,bnb,3,0,1,,28,25,-492
117,0.00013000,0.00001376,0.00009757,0.0000975886524823,knapsack,1,0,2,0.00025624,26,26,558
118,0.00556800,0.00000716,0.00003438,0.0000344230769231,knapsack,2,0,2,0.00012205,26,25,-446
119,0.00300000,0.00001641,0.00003981,0.0000398300970874,knapsack,5,0,2,0.00000496,36,32,-1292
120,0.00924800,0.00001798,0.00003883,0.0000401339285714,bnb,6,0,1,,34,28,-2038
121,0.00500000,0.00001184,0.00003440,0.0000344186046512,knapsack,4,0,2,0.00001021,31,28,-1131
122,0.00337500,0.00000752,0.00005332,0.0000533333333333,knapsack,1,0,2,0.00021748,29,29,191
123,0.00850000,0.00001619,0.00008736,0.0000914689265537,bnb,2,0,1,,29,27,28
124,0.00800000,0.00002187,0.00010512,0.000105144230769,srd,2,0,2,0.01970791,28,27,735
125,0.01000000,0.00002000,0.00007824,0.0000816326530612,bnb,3,0,1,,27,24,-165
126,0.01500500,0.00000891,0.00003228,0.0000322826086957,knapsack,3,0,2,0.00000357,24,22,-872
127,0.00200000,0.00000471,0.00003336,0.0000334042553191,knapsack,1,0,2,0.00089529,22,22,-66
128,0.00134400,0.00000550,0.00003894,0.0000390070921986,knapsack,1,0,2,0.00309368,22,22,-11
129,0.00321900,0.00001724,0.00006243,0.0000624637681159,knapsack,3,0,2,0.00075630,23,21,-152
130,0.00610000,0.00000898,0.00006365,0.0000636879432624,knapsack,1,0,2,0.00189102,21,21,234
131,0.00610000,0.00001118,0.00005371,0.00005375000,knapsack,2,0,2,0.00032569,21,20,-110
132,0.00634000,0.00000805,0.00003869,0.0000387019230769,knapsack,2,0,2,0.00309565,20,19,-361
133,0.01100000,0.00001014,0.00002945,0.0000294767441860,knapsack,4,0,2,0.00007185,24,21,-1337
134,0.00275200,0.00000375,0.00002653,0.0000265957446809,knapsack,1,0,2,0.00033990,21,21,-133
135,0.01000000,0.00000632,0.00003034,0.0000303846153846,knapsack,2,0,2,0.00000389,25,24,-500
136,0.01000000,0.00001852,0.00004493,0.0000449514563107,knapsack,5,0,2,0.00012080,24,20,-1187
137,0.00200000,0.00000522,0.00003700,0.0000370212765957,knapsack,1,0,2,0.00099478,22,22,-42
138,0.00170000,0.00000803,0.00003860,0.0000386057692308,knapsack,2,0,2,0.00028675,22,21,-363
139,0.00160000,0.00000701,0.00004970,0.0000497163120567,knapsack,1,0,2,0.00339299,21,21,96
140,0.01299400,0.00001861,0.00004410,0.0000594568690096,knapsack,4,0,1,,24,20,-896
141,0.00200000,0.00000709,0.00005024,0.0000502836879433,knapsack,1,0,2,0.00299291,20,20,110
142,0.00200000,0.00000841,0.00004039,0.0000404326923077,knapsack,2,0,2,0.00006344,22,21,-333
143,0.00044600,0.00000854,0.00006056,0.0000605673758865,knapsack,1,0,2,0.00024546,25,25,203
144,0.00210000,0.00002885,0.00008384,0.0000838662790698,knapsack,4,0,2,0.00002523,27,24,311
145,0.00925000,0.00001552,0.00004511,0.0000451162790698,knapsack,4,0,2,0.00000517,24,21,-865
146,0.00303500,0.00000727,0.00003491,0.0000349519230769,knapsack,2,0,2,0.00075773,21,20,-415
147,0.00166400,0.00000551,0.00003901,0.0000390780141844,knapsack,1,0,2,0.00132340,20,20,-1
148,0.00575300,0.00000990,0.00003829,0.0000404081632653,bnb,3,0,1,,21,18,-1007
149,0.00980100,0.00000719,0.00003453,0.0000345673076923,knapsack,2,0,2,0.00031521,18,17,-409
150,0.00971900,0.00000397,0.00002813,0.0000281560283688,knapsack,1,0,2,0.00136862,18,18,-95
151,0.05900000,0.00001521,0.00002542,0.0000339508928571,knapsack,6,0,1,,25,19,-2340
152,0.00200000,0.00002280,0.00016170,0.000161702127660,srd,1,0,2,0.00767332,21,21,1205
153,0.05000000,0.00003038,0.00007372,0.0000737378640777,knapsack,5,0,2,0.00001091,21,17,-106
154,0.00997000,0.00000978,0.00006934,0.0000693617021277,knapsack,1,0,2,0.00002022,17,17,290
155,0.00320000,0.00000967,0.00004649,0.0000464903846154,knapsack,2,0,2,0.00009033,21,20,-230
156,0.12100000,0.00002146,0.00003470,0.0000367465753425,bnb,8,0,1,,22,14,-2896
157,0.00356700,0.00000510,0.00003613,0.0000361702127660,knapsack,1,0,2,0.00142790,17,17,-38
158,0.00084400,0.00000524,0.00003713,0.0000371631205674,knapsack,1,0,2,0.00051938,17,17,-19
159,0.10000000,0.00001564,0.00003264,0.0000326513569937,knapsack,6,0,2,0.00004360,18,13,-2014
160,0.10000000,0.00001852,0.00005382,0.0000538372093023,knapsack,4,0,2,0.00224686,18,15,-594
161,0.10000000,0.00000505,0.00003581,0.0000358156028369,knapsack,1,0,2,0.86450859,15,15,-33
162,0.00500000,0.00000680,0.00004821,0.0000482269503546,knapsack,1,0,2,0.00199320,22,22,89
163,0.00400000,0.00001796,0.00004358,0.0000435922330097,knapsack,5,0,2,0.00003674,25,21,-1216
164,0.00500000,0.00000758,0.00005369,0.0000537588652482,knapsack,1,0,2,0.00499242,21,21,144
165,0.00500000,0.00000731,0.00003510,0.0000351442307692,knapsack,2,0,2,0.00002185,21,20,-414
166,0.00069400,0.00000393,0.00002785,0.0000278723404255,knapsack,1,0,2,0.00014607,20,20,-99
167,0.00300000,0.00000520,0.00003686,0.0000368794326241,knapsack,1,0,2,0.00499480,24,24,-31
168,0.01000000,0.00000565,0.00002715,0.0000271634615385,knapsack,2,0,2,0.00001620,24,23,-554
169,0.00100000,0.00000434,0.00002086,0.0000208653846154,knapsack,2,0,2,0.00001186,23,22,-660
170,0.01003000,0.00000459,0.00003252,0.0000325531914894,knapsack,1,0,2,0.01467583,24,24,-74
171,0.00137000,0.00000549,0.00003889,0.0000389361702128,knapsack,1,0,2,0.00087137,24,24,-11
172,0.00126800,0.00001523,0.00004999,0.0000621632653061,bnb,3,0,1,,24,21,-523
173,0.00450000,0.00000384,0.00002717,0.0000272340425532,knapsack,1,0,2,0.00049096,22,22,-127
174,0.00500000,0.00000911,0.00004376,0.0000437980769231,knapsack,2,0,2,0.00009089,24,23,-277
175,0.01020000,0.00000737,0.00005221,0.0000522695035461,knapsack,1,0,2,0.00446846,23,23,121
176,0.01020000,0.00000627,0.00004442,0.0000444680851064,knapsack,1,0,2,0.01979373,24,24,44
177,0.01050000,0.00001348,0.00003917,0.0000391860465116,knapsack,4,0,2,0.00001444,25,22,-1035
178,0.01063000,0.00004894,0.00034704,0.000347092198582,knapsack,1,0,2,0.00911479,23,23,3047
179,0.00030000,0.00006414,0.00045489,0.000454893617021,knapsack,1,0,2,0.00053586,23,23,4116
180,0.00030000,0.00006653,0.00047184,0.000471843971631,knapsack,1,0,2,0.00016933,23,23,4283
181,0.01030000,0.00003218,0.00022818,0.000228226950355,srd,1,0,2,4.98330872,25,25,1871
182,0.01080000,0.00004504,0.00031942,0.000319432624113,srd,1,0,2,0.03915496,27,27,2775
183,0.01030000,0.00005981,0.00042412,0.000424184397163,srd,1,0,2,0.02264019,28,28,3791
184,0.01110000,0.00003621,0.00025680,0.000256808510638,srd,1,0,2,0.05910879,29,29,2135
185,0.00020000,0.00007868,0.00055797,0.000558014184397,knapsack,1,0,2,0.00222132,30,30,5116
186,0.00062000,0.00012365,0.00087693,0.000876950354610,knapsack,1,0,2,0.00147767,30,30,8274
187,0.01100000,0.00015265,0.00108256,0.00108262411348,srd,1,0,2,0.03884735,31,31,10309
188,0.01410000,0.00008029,0.00056942,0.000569432624113,srd,1,0,2,0.02466706,33,33,5230
189,0.01110000,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.03883470,34,34,4176
190,0.00200000,0.00006476,0.00045929,0.000459290780142,srd,1,0,2,0.00705003,35,35,4139
191,0.00210000,0.00002932,0.00020791,0.000207943262411,srd,1,0,2,0.04787068,38,38,1650
192,0.01210000,0.00002913,0.00020656,0.000206595744681,srd,1,0,2,1.98437829,39,39,1637
193,0.01100000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,0.08887343,39,39,1528
194,0.00200000,0.00002579,0.00018288,0.000182907801418,srd,1,0,2,4.98128293,46,46,1463
195,0.00110000,0.00002186,0.00007917,0.0000792028985507,knapsack,3,0,2,0.00004747,46,44,291
196,0.01552400,0.00005657,0.00020493,0.000204963768116,srd,3,0,2,0.04675857,46,44,3246
197,0.00100000,0.00001771,0.00012556,0.000125602836879,srd,1,0,2,0.00068229,46,46,896
198,0.00125100,0.00005819,0.00041264,0.000412695035461,srd,1,0,2,0.03752551,48,48,3738
199,0.01896200,0.00009677,0.00046520,0.000465240384615,srd,2,0,2,0.00660829,48,47,6811
200,0.00200000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.00795187,47,47,3032
201,0.00761500,0.00013901,0.00066830,0.000668317307692,srd,2,0,2,0.04561285,53,52,10202
202,0.00020000,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,0.00293391,53,53,2889
203,0.02767100,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,0.06116956,53,53,1961
204,0.00100000,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,0.00077606,53,53,1334
205,0.01310600,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.02439679,54,54,1248
206,0.01890200,0.00006056,0.00006024,0.0000611717171717,bnb,14,0,1,,57,43,-2766
207,0.01400000,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,2.98262871,43,43,812
208,0.00400000,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.00598365,43,43,801
209,0.00100000,0.00001324,0.00006361,0.0000636538461538,knapsack,2,0,2,0.00044511,43,42,104
210,0.00020000,0.00001111,0.00007874,0.0000787943262411,knapsack,1,0,2,0.00023400,42,42,433
211,0.01829700,0.00001337,0.00004842,0.0000484420289855,srd,3,0,2,0.00669153,42,40,-420
212,0.10000000,0.00001826,0.00002302,0.0000232020330368,bnb,11,0,1,,48,37,-5003
213,0.03117800,0.00001062,0.00003845,0.0000384782608696,knapsack,3,0,2,0.00035157,37,35,-666
214,0.00025000,0.00000502,0.00003560,0.0000356028368794,knapsack,1,0,2,0.00009655,36,36,6
215,0.07500000,0.00002178,0.00003506,0.0000372945205479,bnb,8,0,1,,41,33,-2866
216,0.01000000,0.00000774,0.00003719,0.0000372115384615,knapsack,2,0,2,0.00008881,34,33,-338
217,0.10000000,0.00001285,0.00003177,0.0000337270341207,bnb,5,0,1,,33,28,-1909
218,0.03008800,0.00000866,0.00003136,0.0000313768115942,knapsack,3,0,2,0.00028826,30,28,-832
219,0.00020000,0.00000408,0.00002891,0.0000289361702128,knapsack,1,0,2,0.00008418,28,28,-61
220,0.00020000,0.00001114,0.00007896,0.0000790070921986,knapsack,1,0,2,0.00648039,30,30,420
221,0.12431200,0.00001403,0.00002929,0.0000292901878914,knapsack,6,0,2,0.00026315,32,27,-2131
222,0.03394100,0.00001470,0.00004272,0.0000427325581395,knapsack,4,0,2,0.00573930,30,27,-901
223,0.00025000,0.00000395,0.00002798,0.0000280141843972,knapsack,1,0,2,0.00000920,29,29,-84
224,0.03088700,0.00001300,0.00003559,0.0000415335463259,bnb,4,0,1,,30,26,-1298
225,0.15000000,0.00001644,0.00003005,0.0000300548446069,srd,7,0,2,4.96752023,27,21,-2491
226,0.12500000,0.00001005,0.00002921,0.0000292151162791,knapsack,4,0,2,0.00001806,21,18,-1297
227,0.01000000,0.00000749,0.00002712,0.0000271376811594,srd,3,0,2,3.98247353,19,17,-932
228,0.00600000,0.00001406,0.00006759,0.0000675961538462,srd,2,0,2,0.06495294,18,17,170
229,0.00250000,0.00000442,0.00003128,0.0000313475177305,knapsack,1,0,2,0.00749558,20,20,-38
230,0.00020000,0.00000964,0.00004632,0.0000463461538462,knapsack,2,0,2,0.00002665,21,20,-186
231,0.00190000,0.00001020,0.00004902,0.0000490384615385,knapsack,2,0,2,0.00020650,22,21,-140
232,0.00030000,0.00000544,0.00003857,0.0000385815602837,knapsack,1,0,2,0.00719014,21,21,35
233,0.11000000,0.00004024,0.00005570,0.0000559666203060,bnb,10,0,1,,30,20,-2330
234,0.02540800,0.00000593,0.00004202,0.0000420567375887,knapsack,1,0,2,0.00458607,21,21,69
235,0.00197900,0.00001202,0.00003494,0.0000349418604651,knapsack,4,0,2,0.00001063,21,18,-1123
236,0.00100000,0.00000516,0.00002479,0.0000248076923077,knapsack,2,0,2,0.00019484,20,19,-545
237,0.00020700,0.00000836,0.00004015,0.0000401923076923,knapsack,2,0,2,0.00017948,21,20,-287
238,0.00057000,0.00000771,0.00005464,0.0000546808510638,knapsack,1,0,2,0.00042229,20,20,194
239,0.00020000,0.00001555,0.00007472,0.0000747596153846,knapsack,2,0,2,0.00006393,24,23,290
240,0.01693800,0.00001530,0.00004445,0.0000444767441860,knapsack,4,0,2,0.00001079,25,22,-834
241,0.00410000,0.00001793,0.00005212,0.0000521220930233,knapsack,4,0,2,0.00001319,25,22,-602
242,0.03073900,0.00001305,0.00006271,0.0000627403846154,knapsack,2,0,2,0.00054795,24,23,89
243,0.00350200,0.00001400,0.00002944,0.00003125000,bnb,6,0,1,,30,24,-2396
244,0.10000000,0.00001227,0.00002977,0.0000297815533981,knapsack,5,0,2,0.00000491,24,20,-1688
245,0.01050200,0.00000947,0.00003429,0.0000343115942029,knapsack,3,0,2,0.00003648,22,20,-763
246,0.10020000,0.00001316,0.00003824,0.0000382558139535,knapsack,4,0,2,0.00406304,20,17,-1021
247,0.00050000,0.00000401,0.00002838,0.0000284397163121,knapsack,1,0,2,0.00355903,18,18,-68
248,1.00010000,0.00000951,0.00004568,0.0000457211538462,knapsack,2,0,2,0.00009049,20,19,-197
249,0.10351900,0.00001272,0.00003697,0.0000369767441860,knapsack,4,0,2,0.00126828,21,18,-1062
250,0.00810000,0.00000603,0.00002895,0.0000289903846154,srd,2,0,2,1.97667226,18,17,-477
251,0.20000000,0.00001490,0.00007160,0.0000716346153846,knapsack,2,0,2,0.00002158,19,18,235
252,0.05300000,0.00000673,0.00004771,0.0000477304964539,knapsack,1,0,2,0.00199327,18,18,124
253,0.10000000,0.00000903,0.00002624,0.00002625000,knapsack,4,0,2,0.00001255,20,17,-1387
254,0.10000000,0.00000793,0.00003808,0.000038125000,knapsack,2,0,2,0.00000462,18,17,-324
255,0.20000000,0.00000518,0.00003669,0.0000367375886525,knapsack,1,0,2,0.66450341,18,18,14
256,0.00020000,0.00001292,0.00005190,0.0000527346938776,bnb,3,0,1,,18,15,-762
257,0.05092100,0.00000597,0.00002870,0.0000287019230769,srd,2,0,2,0.61484472,16,15,-481
258,0.00400000,0.00000736,0.00003536,0.0000353846153846,knapsack,2,0,2,0.00055167,15,14,-370
259,0.00030000,0.00000790,0.00005597,0.0000564285714286,knapsack,1,0,2,0.00024377,17,17,205
260,0.00020000,0.00000399,0.00002825,0.0000282978723404,knapsack,1,0,2,0.00003978,17,17,-69
261,0.00040000,0.00000372,0.00002638,0.0000263829787234,knapsack,1,0,2,0.00158955,17,17,-88
262,0.00020000,0.00000721,0.00005110,0.0000511347517730,knapsack,1,0,2,0.00138234,22,22,157
263,0.00150000,0.00000934,0.00002714,0.0000271511627907,knapsack,4,0,2,0.00002738,28,25,-1361
264,0.00050000,0.00000327,0.00002317,0.0000231914893617,knapsack,1,0,2,0.00019673,25,25,-120
265,0.01422200,0.00002928,0.00005352,0.0000535283363803,knapsack,7,0,2,0.00000993,29,23,-1375
266,0.00070000,0.00000562,0.00003981,0.0000398581560284,knapsack,1,0,2,0.00019438,23,23,-22
267,0.00090000,0.00000586,0.00004150,0.0000415602836879,knapsack,1,0,2,0.00209414,24,24,-5
268,0.00020000,0.00000808,0.00003883,0.0000388461538462,knapsack,2,0,2,0.00001368,24,23,-378
269,0.00020000,0.00000711,0.00003415,0.0000341826923077,srd,2,0,2,0.00479751,23,22,-389
